opid,speakername,item,itemLabel,born,year,month,day,sexLabel,dist
241631,Filomena Tassi,http://www.wikidata.org/entity/Q22770985,Filomena Tassi,1962-01-01,1962,1,1,female,0
9812,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
218669,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
218397,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
217065,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
234464,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
216474,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
217726,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
234406,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
234397,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
217810,Martin Shields,http://www.wikidata.org/entity/Q22770987,Martin Shields,1948-04-28,1948,4,28,male,0
10053,Sonia Sidhu,http://www.wikidata.org/entity/Q22770988,Sonia Sidhu,1968-03-01,1968,3,1,female,0
219501,Sonia Sidhu,http://www.wikidata.org/entity/Q22770988,Sonia Sidhu,1968-03-01,1968,3,1,female,0
219935,Sonia Sidhu,http://www.wikidata.org/entity/Q22770988,Sonia Sidhu,1968-03-01,1968,3,1,female,0
242566,Sonia Sidhu,http://www.wikidata.org/entity/Q22770988,Sonia Sidhu,1968-03-01,1968,3,1,female,0
9802,Kevin Waugh,http://www.wikidata.org/entity/Q22770989,Kevin Waugh,1955-01-01,1955,1,1,male,0
218471,Kevin Waugh,http://www.wikidata.org/entity/Q22770989,Kevin Waugh,1955-01-01,1955,1,1,male,0
234510,Kevin Waugh,http://www.wikidata.org/entity/Q22770989,Kevin Waugh,1955-01-01,1955,1,1,male,0
217612,Kevin Waugh,http://www.wikidata.org/entity/Q22770989,Kevin Waugh,1955-01-01,1955,1,1,male,0
216585,Kevin Waugh,http://www.wikidata.org/entity/Q22770989,Kevin Waugh,1955-01-01,1955,1,1,male,0
216456,Kevin Waugh,http://www.wikidata.org/entity/Q22770989,Kevin Waugh,1955-01-01,1955,1,1,male,0
10581,Wayne Stetski,http://www.wikidata.org/entity/Q22811360,Wayne Stetski,1952-05-23,1952,5,23,male,0
217195,Wayne Stetski,http://www.wikidata.org/entity/Q22811360,Wayne Stetski,1952-05-23,1952,5,23,male,0
217113,Wayne Stetski,http://www.wikidata.org/entity/Q22811360,Wayne Stetski,1952-05-23,1952,5,23,male,0
242959,Wayne Stetski,http://www.wikidata.org/entity/Q22811360,Wayne Stetski,1952-05-23,1952,5,23,male,0
9781,Kate Young,http://www.wikidata.org/entity/Q22811363,Kate Young,1955-01-01,1955,1,1,female,0
219729,Kate Young,http://www.wikidata.org/entity/Q22811363,Kate Young,1955-01-01,1955,1,1,female,0
214679,Kate Young,http://www.wikidata.org/entity/Q22811363,Kate Young,1955-01-01,1955,1,1,female,0
229492,Kate Young,http://www.wikidata.org/entity/Q22811363,Kate Young,1955-01-01,1955,1,1,female,0
242094,Kate Young,http://www.wikidata.org/entity/Q22811363,Kate Young,1955-01-01,1955,1,1,female,0
408,Steven Blaney,http://www.wikidata.org/entity/Q2347478,Steven Blaney,1965-04-08,1965,4,8,male,0
217593,Steven Blaney,http://www.wikidata.org/entity/Q2347478,Steven Blaney,1965-04-08,1965,4,8,male,0
234948,Steven Blaney,http://www.wikidata.org/entity/Q2347478,Steven Blaney,1965-04-08,1965,4,8,male,0
216154,Steven Blaney,http://www.wikidata.org/entity/Q2347478,Steven Blaney,1965-04-08,1965,4,8,male,0
242520,Steven Blaney,http://www.wikidata.org/entity/Q2347478,Steven Blaney,1965-04-08,1965,4,8,male,0
217775,Steven Blaney,http://www.wikidata.org/entity/Q2347478,Steven Blaney,1965-04-08,1965,4,8,male,0
