opid,speakername,item,itemLabel,born,year,month,day,sexLabel,dist
221288,Cheryl Hardcastle,http://www.wikidata.org/entity/Q22278124,Cheryl Hardcastle,1961-11-20,1961,11,20,female,0
220306,Cheryl Hardcastle,http://www.wikidata.org/entity/Q22278124,Cheryl Hardcastle,1961-11-20,1961,11,20,female,0
217149,Cheryl Hardcastle,http://www.wikidata.org/entity/Q22278124,Cheryl Hardcastle,1961-11-20,1961,11,20,female,0
244112,Cheryl Hardcastle,http://www.wikidata.org/entity/Q22278124,Cheryl Hardcastle,1961-11-20,1961,11,20,female,0
9318,Gord Johns,http://www.wikidata.org/entity/Q22278424,Gord Johns,1969-11-29,1969,11,29,male,0
218936,Gord Johns,http://www.wikidata.org/entity/Q22278424,Gord Johns,1969-11-29,1969,11,29,male,0
217231,Gord Johns,http://www.wikidata.org/entity/Q22278424,Gord Johns,1969-11-29,1969,11,29,male,0
237062,Gord Johns,http://www.wikidata.org/entity/Q22278424,Gord Johns,1969-11-29,1969,11,29,male,0
237001,Gord Johns,http://www.wikidata.org/entity/Q22278424,Gord Johns,1969-11-29,1969,11,29,male,0
246470,Gord Johns,http://www.wikidata.org/entity/Q22278424,Gord Johns,1969-11-29,1969,11,29,male,0
246439,Gord Johns,http://www.wikidata.org/entity/Q22278424,Gord Johns,1969-11-29,1969,11,29,male,0
10182,Bernadette Jordan,http://www.wikidata.org/entity/Q22278440,Bernadette Jordan,1963-04-07,1963,4,7,female,0
215925,Bernadette Jordan,http://www.wikidata.org/entity/Q22278440,Bernadette Jordan,1963-04-07,1963,4,7,female,0
234505,Bernadette Jordan,http://www.wikidata.org/entity/Q22278440,Bernadette Jordan,1963-04-07,1963,4,7,female,0
239609,Bernadette Jordan,http://www.wikidata.org/entity/Q22278440,Bernadette Jordan,1963-04-07,1963,4,7,female,0
245295,Bernadette Jordan,http://www.wikidata.org/entity/Q22278440,Bernadette Jordan,1963-04-07,1963,4,7,female,0
9649,Pat Kelly,http://www.wikidata.org/entity/Q22278561,Pat Kelly,1975-01-01,1975,1,1,male,0
218278,Pat Kelly,http://www.wikidata.org/entity/Q22278561,Pat Kelly,1975-01-01,1975,1,1,male,0
217746,Pat Kelly,http://www.wikidata.org/entity/Q22278561,Pat Kelly,1975-01-01,1975,1,1,male,0
216505,Pat Kelly,http://www.wikidata.org/entity/Q22278561,Pat Kelly,1975-01-01,1975,1,1,male,0
237012,Pat Kelly,http://www.wikidata.org/entity/Q22278561,Pat Kelly,1975-01-01,1975,1,1,male,0
242429,Pat Kelly,http://www.wikidata.org/entity/Q22278561,Pat Kelly,1975-01-01,1975,1,1,male,0
220098,Kamal Khera,http://www.wikidata.org/entity/Q22278589,Kamal Khera,1989-02-04,1989,2,4,female,0
10450,Kamal Khera,http://www.wikidata.org/entity/Q22278589,Kamal Khera,1989-02-04,1989,2,4,female,0
229509,Kamal Khera,http://www.wikidata.org/entity/Q22278589,Kamal Khera,1989-02-04,1989,2,4,female,0
242071,Kamal Khera,http://www.wikidata.org/entity/Q22278589,Kamal Khera,1989-02-04,1989,2,4,female,0
9366,Fayçal El-Khoury,http://www.wikidata.org/entity/Q22278594,Fayçal El-Khoury,1962-08-10,1962,8,10,male,0
214023,Fayçal El-Khoury,http://www.wikidata.org/entity/Q22278594,Fayçal El-Khoury,1962-08-10,1962,8,10,male,0
9453,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
218034,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
226924,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
217659,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
234317,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
218624,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
216501,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
218228,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
217464,Tom Kmiec,http://www.wikidata.org/entity/Q22278649,Tom Kmiec,1981-07-31,1981,7,31,male,0
10228,Paul Lefebvre,http://www.wikidata.org/entity/Q22278827,Paul Lefebvre,1974-01-01,1974,1,1,male,0
215889,Paul Lefebvre,http://www.wikidata.org/entity/Q22278827,Paul Lefebvre,1974-01-01,1974,1,1,male,0
219887,Paul Lefebvre,http://www.wikidata.org/entity/Q22278827,Paul Lefebvre,1974-01-01,1974,1,1,male,0
